Radiateur;Température;Intérieur;U3;1;101;A l'entrée de la salle
Radiateur;2017-01-01T00:00:00.00Z;20
Radiateur;2017-01-02T00:00:00.00Z;20
Radiateur;2017-01-03T00:00:00.00Z;20
Radiateur;2017-01-04T00:00:00.00Z;20
Radiateur;2017-01-05T00:00:00.00Z;20
Radiateur;2017-01-06T00:00:00.00Z;20
Radiateur;2017-01-07T00:00:00.00Z;21
Radiateur;2017-01-08T00:00:00.00Z;21
Radiateur;2017-01-09T00:00:00.00Z;21
Radiateur;2017-01-10T00:00:00.00Z;21
Radiateur;2017-01-11T00:00:00.00Z;21
Radiateur;2017-01-12T00:00:00.00Z;21
Radiateur;2017-01-13T00:00:00.00Z;21
Radiateur;2017-01-14T00:00:00.00Z;20
Radiateur;2017-01-15T00:00:00.00Z;20
Radiateur;2017-01-16T00:00:00.00Z;20
Radiateur;2017-01-17T00:00:00.00Z;20
Radiateur;2017-01-18T00:00:00.00Z;20
Radiateur;2017-01-19T00:00:00.00Z;20
Radiateur;2017-01-20T00:00:00.00Z;21
Radiateur;2017-01-21T00:00:00.00Z;21
Radiateur;2017-01-22T00:00:00.00Z;22
Radiateur;2017-01-23T00:00:00.00Z;22
Radiateur;2017-01-24T00:00:00.00Z;22
Radiateur;2017-01-25T00:00:00.00Z;22
Radiateur;2017-01-26T00:00:00.00Z;22
Radiateur;2017-01-27T00:00:00.00Z;22
Radiateur;2017-01-28T00:00:00.00Z;21
Radiateur;2017-01-29T00:00:00.00Z;20
Radiateur;2017-01-30T00:00:00.00Z;19
Radiateur2;Température;Intérieur;U3;1;102;A l'entrée de la salle
Radiateur3;Température;Intérieur;U3;1;103;A l'entrée de la salle
Radiateur4;Température;Intérieur;U3;2;201;A l'entrée de la salle
